PPC_subs,PPC_trial,alpha,omega_a,omega_i,tau
0.995111253,0.915019134,0.917199462,0.987650651,0.967068413,0.912336091
0.99547647,0.94477495,0.907923075,0.984778795,0.988802703,0.871641712
0.993959646,0.924696278,0.928662085,0.98277545,0.977625156,0.832865829
0.988736122,0.923228758,0.934709101,0.990959293,0.964584283,0.885844993
0.992174445,0.906860624,0.943517114,0.990203118,0.989620521,0.908694656
0.989969827,0.909044995,0.957293223,0.968809019,0.990006252,0.940497789
0.994518587,0.951337363,0.930583933,0.981662665,0.983285394,0.894956931
0.994795975,0.931056543,0.944866093,0.987759425,0.97258026,0.876264545
0.9949824,0.921218462,0.962194267,0.991785373,0.990950293,0.889662326
0.993617339,0.938576503,0.938950336,0.951032967,0.989534191,0.862166132
0.98712395,0.927799541,0.92373766,0.979468777,0.975873328,0.906262666
0.995077852,0.939399398,0.943169338,0.985734334,0.985964271,0.841589873
0.994208333,0.911368203,0.905938779,0.98393906,0.962372197,0.943099351
0.992993934,0.920546544,0.954367045,0.96747181,0.982136817,0.866971805
0.990152131,0.924133533,0.880198291,0.986420251,0.971994095,0.750960471
0.99329461,0.941590022,0.914068264,0.979195909,0.961408825,0.805090495
0.996137956,0.930409317,0.933302974,0.972879598,0.97871859,0.875154587
0.994223995,0.944582812,0.945788838,0.988074296,0.959856214,0.854490931
0.993263035,0.930048103,0.944362893,0.983331908,0.967928188,0.860787814
0.993242226,0.939399816,0.955175929,0.987476963,0.978237991,0.803990428
0.995798845,0.911419875,0.950215623,0.956001077,0.969995396,0.900589723
0.990561057,0.943856739,0.920888166,0.980724331,0.985264194,0.9080839
0.997415068,0.940373654,0.930006254,0.989702177,0.983125527,0.955910492
0.988375815,0.923946937,0.867084478,0.981303102,0.963764334,0.844730961
0.993932503,0.926772756,0.9364135,0.987954151,0.986165262,0.874193229
0.992402193,0.929114871,0.936390738,0.990527073,0.985381497,0.874880901
0.992203284,0.936109213,0.902390305,0.975861819,0.988853805,0.902713819
0.991313541,0.923161122,0.955328823,0.985978673,0.954078885,0.80675844
0.987951093,0.937081621,0.936828203,0.991305449,0.983920277,0.762467025
0.99278608,0.927039469,0.959949586,0.982942476,0.959547774,0.831918073
0.987618622,0.938527876,0.906323297,0.978254848,0.917272254,0.866599474
0.992657407,0.9298572,0.942058639,0.985766669,0.977107961,0.864868985
0.990253253,0.941358537,0.929741332,0.978534227,0.983011166,0.850750983
0.994708719,0.929145084,0.944556759,0.95369177,0.904753975,0.866240136
0.994339431,0.917555885,0.961820305,0.986297483,0.96481689,0.854864582
0.990700726,0.925162984,0.933416275,0.988237685,0.982416832,0.851615046
0.989870255,0.933175452,0.93376218,0.979325538,0.980951669,0.865615792
0.994739941,0.923703881,0.962408448,0.984712419,0.99001951,0.851925533
0.994154564,0.933144833,0.935667093,0.969004531,0.974129029,0.845570778
0.993514022,0.910782831,0.944057616,0.982811261,0.981468614,0.802243205
0.993194253,0.929486008,0.960365888,0.987891218,0.985318636,0.842480433
0.995268608,0.936831631,0.923620862,0.987070978,0.988849453,0.770824658
0.996904989,0.91898377,0.960908182,0.97290171,0.985601476,0.811482701
0.994645836,0.927407574,0.949250838,0.986808203,0.980717923,0.937761958
0.994540632,0.906305107,0.954617201,0.985115795,0.985364074,0.865151091
0.993839039,0.920708406,0.919568723,0.986229432,0.976936098,0.82121319
0.991660856,0.916314889,0.928020912,0.979476231,0.980373741,0.811367203
0.988504869,0.921709723,0.971384042,0.988117676,0.991289554,0.876123023
0.991957988,0.920926753,0.885907287,0.971418777,0.968770534,0.752718627
0.989051896,0.938991451,0.948924979,0.975279477,0.982637874,0.802077899
,,,,,
0.992758509,0.927880941,0.935157705,0.981213118,0.975609044,0.857141426
0.002544673,0.010842803,0.022116845,0.009365221,0.016540024,0.047640755
