sub,punish,aro,resp,EC,SDO,omega
sub1512101,0.03,-0.02,0.02,28,42,-1.07
sub1512104,0.37,,,19,78,-10.49
sub1512105,-0.03,-0.04,0,29,51,0.66
sub1512106,0.1,-0.02,-0.04,34,43,-2.07
sub1512107,-0.06,-0.01,0.02,29,62,1.62
sub1512108,0.05,0.09,0.05,32,63,-2.85
sub1512110,0.04,-0.03,0.05,27,50,-1.26
sub1512111,0.03,-0.01,-0.02,26,49,-1.41
sub1512113,0,-0.02,0,33,33,0.41
sub1512114,0.05,-0.01,0.04,33,54,-0.94
sub1512115,0.03,-0.06,0.04,27,61,-0.46
sub1512116,0.18,0.23,0.13,21,64,-4.01
sub1512201,0.01,-0.02,-0.02,26,55,-0.37
sub1512202,0.09,0.08,0.15,25,49,-2.52
sub1512203,0,-0.03,0.1,30,28,0.41
sub1512204,-0.05,-0.02,-0.04,35,48,0.56
sub1512205,0.07,0.03,0.03,20,74,-0.26
sub1512206,0.03,-0.03,0.02,25,44,-0.74
sub1512207,0.02,-0.02,-0.01,24,40,-0.01
sub1512208,0,0,-0.02,31,40,0.2
sub1512209,0.04,-0.01,-0.01,29,48,-1.27
sub1512210,0.06,-0.07,-0.05,24,48,-0.29
sub1512211,-0.03,-0.03,0.01,31,41,0.42
sub1512212,0,-0.02,0.01,25,50,0.1
sub1512213,0,-0.02,-0.01,34,38,0.13
sub1512215,0,-0.02,0.04,30,39,0.12
sub1512216,0.29,0.23,0.28,22,55,-8.17
